COQUELUCHE - Casos confirmados Notificados no Sistema de Informação de Agravos de Notificação - Brasil
Casos confirmados por Município de notificação
Período:2024
"Município de notificação";"Casos_confirmados"
"110004 CACOAL";1
"110028 ROLIM DE MOURA";1
"110170 URUPA";1
"130110 CAREIRO";1
"130260 MANAUS";23
"140010 BOA VISTA";3
"140020 CARACARAI";1
"150140 BELEM";3
"170130 ARAGOMINAS";1
"172080 SITIO NOVO DO TOCANTINS";1
"211130 SAO LUIS";5
"230440 FORTALEZA";20
"230765 MARACANAU";1
"240020 ACU";1
"240710 MACAIBA";1
"240800 MOSSORO";1
"240810 NATAL";7
"240940 PAU DOS FERROS";2
"251250 QUEIMADAS";1
"260290 CABO DE SANTO AGOSTINHO";1
"260345 CAMARAGIBE";1
"260790 JABOATAO DOS GUARARAPES";1
"260880 LAJEDO";1
"260890 LIMOEIRO";1
"260900 MACAPARANA";1
"260960 OLINDA";1
"261140 PRIMAVERA";1
"261160 RECIFE";104
"270430 MACEIO";1
"280030 ARACAJU";2
"290390 BOM JESUS DA LAPA";2
"290840 CONCEICAO DO COITE";1
"291070 EUCLIDES DA CUNHA";1
"291072 EUNAPOLIS";1
"291080 FEIRA DE SANTANA";17
"291250 IBIPITANGA";1
"291480 ITABUNA";1
"291800 JEQUIE";1
"292110 MEDEIROS NETO";2
"292200 MUCURI";1
"292335 OUROLANDIA";2
"292530 PORTO SEGURO";1
"292740 SALVADOR";10
"292870 SANTO ANTONIO DE JESUS";1
"293060 SERROLANDIA";1
"293135 TEIXEIRA DE FREITAS";45
"293190 TUCANO";1
"293330 VITORIA DA CONQUISTA";1
"310110 AIMORES";1
"310300 ANTONIO DIAS";4
"310540 BARAO DE COCAIS";1
"310560 BARBACENA";5
"310620 BELO HORIZONTE";396
"310670 BETIM";15
"310710 BOA ESPERANCA";1
"310730 BOCAIUVA";1
"310740 BOM DESPACHO";1
"310790 BOM REPOUSO";1
"310830 BORDA DA MATA";1
"310855 BRASILANDIA DE MINAS";3
"310860 BRASILIA DE MINAS";1
"310890 BRAZOPOLIS";5
"310950 CABO VERDE";1
"311000 CAETE";1
"311060 CAMBUI";8
"311080 CAMPANARIO";1
"311180 CANAPOLIS";5
"311230 CAPELINHA";4
"311430 CARMO DO PARANAIBA";17
"311530 CATAGUASES";1
"311720 CONCEICAO DAS PEDRAS";1
"311750 CONCEICAO DO MATO DENTRO";1
"311790 CONGONHAL";1
"311800 CONGONHAS";7
"311830 CONSELHEIRO LAFAIETE";5
"311840 CONSELHEIRO PENA";4
"311860 CONTAGEM";27
"311940 CORONEL FABRICIANO";5
"312100 DATAS";1
"312160 DIAMANTINA";4
"312180 DIONISIO";1
"312200 DIVINO";1
"312220 DIVINOLANDIA DE MINAS";2
"312410 ESMERALDAS";1
"312510 EXTREMA";8
"312610 FORMIGA";2
"312670 FRANCISCO SA";1
"312710 FRUTAL";4
"312770 GOVERNADOR VALADARES";2
"312800 GUANHAES";3
"312980 IBIRITE";2
"313010 IGARAPE";2
"313060 INCONFIDENTES";1
"313130 IPATINGA";10
"313150 IPUIUNA";1
"313170 ITABIRA";10
"313190 ITABIRITO";5
"313240 ITAJUBA";6
"313370 ITATIAIUCU";1
"313420 ITUIUTABA";2
"313820 LAVRAS";2
"313840 LEOPOLDINA";13
"313860 LIMA DUARTE";1
"313990 MARIA DA FE";1
"314000 MARIANA";5
"314110 MATOZINHOS";1
"314160 MERCES";3
"314220 MIRAI";2
"314330 MONTES CLAROS";1
"314340 MONTE SIAO";1
"314360 MORRO DA GARCA";1
"314410 MUZAMBINHO";1
"314480 NOVA LIMA";26
"314560 OLIVEIRA";1
"314590 OURO BRANCO";4
"314710 PARA DE MINAS";8
"314790 PASSOS";4
"314800 PATOS DE MINAS";1
"314890 PEDRA DO INDAIA";1
"314960 PEQUI";2
"315100 PIRANGUINHO";7
"315120 PIRAPORA";1
"315180 POCOS DE CALDAS";3
"315250 POUSO ALEGRE";5
"315410 RECREIO";1
"315460 RIBEIRAO DAS NEVES";2
"315480 RIO ACIMA";1
"315550 RIO PARANAIBA";1
"315570 RIO PIRACICABA";1
"315670 SABARA";3
"315680 SABINOPOLIS";5
"315720 SANTA BARBARA";1
"315780 SANTA LUZIA";1
"315895 SANTANA DO PARAISO";2
"315960 SANTA RITA DO SAPUCAI";5
"315980 SANTA VITORIA";1
"316090 SAO BRAS DO SUACUI";1
"316130 SAO FRANCISCO DE SALES";2
"316210 SAO GOTARDO";1
"316292 SAO JOAQUIM DE BICAS";2
"316295 SAO JOSE DA LAPA";1
"316320 SAO JOSE DO ALEGRE";6
"316370 SAO LOURENCO";6
"316443 SAO SEBASTIAO DA VARGEM ALEGRE";3
"316470 SAO SEBASTIAO DO PARAISO";1
"316710 SERRO";1
"316720 SETE LAGOAS";4
"316860 TEOFILO OTONI";4
"316870 TIMOTEO";7
"316930 TRES CORACOES";2
"316990 UBA";3
"317020 UBERLANDIA";9
"317070 VARGINHA";1
"317080 VARZEA DA PALMA";2
"317130 VICOSA";1
"317190 VIRGOLANDIA";1
"317200 VISCONDE DO RIO BRANCO";4
"320020 ALEGRE";1
"320040 ANCHIETA";2
"320060 ARACRUZ";31
"320070 ATILIO VIVACQUA";1
"320120 CACHOEIRO DE ITAPEMIRIM";4
"320130 CARIACICA";9
"320140 CASTELO";2
"320150 COLATINA";10
"320225 GOVERNADOR LINDENBERG";2
"320240 GUARAPARI";6
"320245 IBATIBA";9
"320313 JOAO NEIVA";3
"320316 LARANJA DA TERRA";1
"320320 LINHARES";25
"320340 MIMOSO DO SUL";1
"320420 PIUMA";2
"320435 RIO BANANAL";1
"320490 SAO MATEUS";4
"320495 SAO ROQUE DO CANAA";3
"320500 SERRA";8
"320506 VENDA NOVA DO IMIGRANTE";3
"320520 VILA VELHA";15
"320530 VITORIA";10
"330010 ANGRA DOS REIS";3
"330030 BARRA DO PIRAI";1
"330045 BELFORD ROXO";2
"330060 BOM JESUS DO ITABAPOANA";3
"330100 CAMPOS DOS GOYTACAZES";10
"330120 CARMO";1
"330150 CORDEIRO";1
"330170 DUQUE DE CAXIAS";12
"330200 ITAGUAI";1
"330220 ITAPERUNA";7
"330240 MACAE";7
"330250 MAGE";8
"330270 MARICA";5
"330285 MESQUITA";2
"330330 NITEROI";37
"330340 NOVA FRIBURGO";10
"330350 NOVA IGUACU";17
"330380 PARATY";9
"330390 PETROPOLIS";71
"330395 PINHEIRAL";2
"330400 PIRAI";1
"330420 RESENDE";3
"330430 RIO BONITO";1
"330455 RIO DE JANEIRO";284
"330490 SAO GONCALO";26
"330520 SAO PEDRO DA ALDEIA";1
"330550 SAQUAREMA";1
"330555 SEROPEDICA";1
"330580 TERESOPOLIS";4
"330600 TRES RIOS";1
"330630 VOLTA REDONDA";20
"350030 AGUAI";1
"350060 AGUAS DE SAO PEDRO";3
"350100 ALTINOPOLIS";1
"350115 ALUMINIO";1
"350160 AMERICANA";6
"350280 ARACATUBA";4
"350320 ARARAQUARA";3
"350330 ARARAS";4
"350340 AREALVA";1
"350380 ARTUR NOGUEIRA";1
"350410 ATIBAIA";1
"350550 BARRETOS";13
"350570 BARUERI";25
"350600 BAURU";11
"350610 BEBEDOURO";1
"350740 BORBOREMA";1
"350750 BOTUCATU";12
"350760 BRAGANCA PAULISTA";6
"350850 CACAPAVA";1
"350900 CAIEIRAS";1
"350950 CAMPINAS";124
"350970 CAMPOS DO JORDAO";1
"351050 CARAGUATATUBA";1
"351110 CATANDUVA";3
"351220 CONCHAL";1
"351240 CORDEIROPOLIS";6
"351310 CRAVINHOS";1
"351370 DESCALVADO";4
"351440 DRACENA";3
"351460 DUMONT";1
"351470 ECHAPORA";4
"351500 EMBU DAS ARTES";1
"351518 ESPIRITO SANTO DO PINHAL";1
"351550 FERNANDOPOLIS";2
"351620 FRANCA";3
"351640 FRANCO DA ROCHA";1
"351670 GARCA";1
"351840 GUARATINGUETA";5
"351860 GUARIBA";1
"351870 GUARUJA";2
"351880 GUARULHOS";7
"351905 HOLAMBRA";3
"351907 HORTOLANDIA";4
"351950 IBIRAREMA";1
"352050 INDAIATUBA";5
"352110 IPEUNA";1
"352220 ITAPECERICA DA SERRA";3
"352270 ITAPOLIS";1
"352340 ITATIBA";4
"352390 ITU";1
"352430 JABOTICABAL";1
"352440 JACAREI";4
"352470 JAGUARIUNA";3
"352510 JARDINOPOLIS";4
"352590 JUNDIAI";1
"352630 LAGOINHA";1
"352650 LAVINIA";2
"352690 LIMEIRA";6
"352730 LOUVEIRA";2
"352850 MAIRIPORA";2
"352880 MARACAI";1
"352900 MARILIA";7
"352930 MATAO";1
"352940 MAUA";2
"353050 MOCOCA";1
"353060 MOGI DAS CRUZES";1
"353070 MOGI GUACU";8
"353080 MOGI MIRIM";2
"353180 MONTE MOR";1
"353340 NOVA ODESSA";2
"353430 ORLANDIA";1
"353440 OSASCO";4
"353650 PAULINIA";7
"353760 PERUIBE";3
"353800 PINDAMONHANGABA";1
"353870 PIRACICABA";20
"353880 PIRAJU";1
"353930 PIRASSUNUNGA";3
"354000 POMPEIA";6
"354070 PORTO FERREIRA";4
"354090 PRADOPOLIS";1
"354100 PRAIA GRANDE";2
"354140 PRESIDENTE PRUDENTE";2
"354330 RIBEIRAO PIRES";1
"354340 RIBEIRAO PRETO";82
"354390 RIO CLARO";1
"354480 SALES";1
"354520 SALTO";5
"354580 SANTA BARBARA D'OESTE";4
"354650 SANTA ERNESTINA";1
"354710 SANTA MERCEDES";1
"354730 SANTANA DE PARNAIBA";4
"354760 SANTA ROSA DE VITERBO";3
"354780 SANTO ANDRE";7
"354850 SANTOS";6
"354870 SAO BERNARDO DO CAMPO";11
"354880 SAO CAETANO DO SUL";11
"354890 SAO CARLOS";7
"354910 SAO JOAO DA BOA VISTA";17
"354940 SAO JOAQUIM DA BARRA";1
"354980 SAO JOSE DO RIO PRETO";7
"354990 SAO JOSE DOS CAMPOS";15
"355030 SAO PAULO";879
"355040 SAO PEDRO";1
"355070 SAO SEBASTIAO";1
"355100 SAO VICENTE";4
"355150 SERRANA";1
